id;version;niveau;libelle;validite
00670;20230913;1;miesen;O
00671;20230913;1;milan;O
00672;20230913;1;millen;O
00673;20230913;1;minarelli;O
00674;20230913;1;mini;O
00675;20230913;1;minimoke;O
00676;20230913;1;minsk;O
00677;20230913;1;mitsubishi;O
00678;20230913;1;mixjet;O
00679;20230913;1;mk siemer;O
00680;20230913;1;mkp;O
00681;20230913;1;mobylette;O
00682;20230913;1;mobymatic;O
00683;20230913;1;moiroud;O
00684;20230913;1;mondial;O
00685;20230913;1;monet goyon;O
00686;20230913;1;montagnoli;O
00687;20230913;1;montesa;O
00688;20230913;1;mooney;O
00689;20230913;1;mopri;O
00690;20230913;1;moreau;O
00691;20230913;1;morel;O
00692;20230913;1;morgan;O
00693;20230913;1;morini;O
00694;20230913;1;moriniere;O
00695;20230913;1;morris;O
00696;20230913;1;mossmer;O
00697;20230913;1;motesa;O
00698;20230913;1;moto guzzi;O
00699;20230913;1;motobecane;O
00700;20230913;1;motobi fam;O
00701;20230913;1;motoconfort;O
00702;20230913;1;motocycle;O
00703;20230913;1;motorbike;O
00704;20230913;1;motovelo;O
00705;20230913;1;mpi;O
00706;20230913;1;mri;O
00707;20230913;1;msc;O
00708;20230913;1;msd;O
00709;20230913;1;mse;O
00710;20230913;1;mueller;O
00711;20230913;1;multicar;O
00712;20230913;1;munk;O
00713;20230913;1;muz;O
00714;20230913;1;mv agusta;O
00715;20230913;1;mvf;O
00716;20230913;1;mwm;O
00717;20230913;1;mz;O
00718;20230913;1;nautilus;O
00719;20230913;1;navica;O
00720;20230913;1;navtek;O
00721;20230913;1;neckar automobilwerke;O
00722;20230913;1;neoplan;O
00723;20230913;1;netam;O
00724;20230913;1;netam fruehauf;O
00725;20230913;1;neuson;O
00726;20230913;1;new holland;O
00727;20230913;1;new map;O
00728;20230913;1;nibbi;O
00729;20230913;1;nicolas;O
00730;20230913;1;nissan;O
00731;20230913;1;nl;O
00732;20230913;1;nobas;O
00733;20230913;1;non repertoriee;O
00734;20230913;1;nopa;O
00735;20230913;1;nordap;O
00736;20230913;1;nordland;O
00737;20230913;1;nordtrac;O
00738;20230913;1;noresund;O
00739;20230913;1;norton;O
00740;20230913;1;notin;O
00741;20230913;1;nottingham;O
00742;20230913;1;noval;O
00743;20230913;1;nsu;O
00744;20230913;1;nuffield;O
00745;20230913;1;nuovainnoc;O
01147;20230913;1;moto star;O
01148;20230913;1;nicom;O
01182;20230913;1;mia electric;O
01187;20230913;1;neco;O
01204;20230913;1;maybach;O
01219;20230913;1;mash;O
01231;20230913;1;masai;O
01233;20230913;1;mazaki;O
01239;20230913;1;monnier;O
00746;20230913;1;oceane;O
00747;20230913;1;ok;O
00748;20230913;1;oldsmobile;O
00749;20230913;1;oliver;O
00750;20230913;1;oltcit;O
00751;20230913;1;om;O
00752;20230913;1;omecar;O
00753;20230913;1;opel;O
00754;20230913;1;oppel;O
00755;20230913;1;original;O
00756;20230913;1;orion;O
00757;20230913;1;oscar;O
00758;20230913;1;osi;O
00759;20230913;1;ossa;O
00760;20230913;1;otto;O
00761;20230913;1;ouest abri;O
00762;20230913;1;owen;O
00763;20230913;1;pacific;O
00764;20230913;1;pacton;O
00765;20230913;1;paloma;O
00766;20230913;1;pam;O
00767;20230913;1;panda;O
00768;20230913;1;panhard;O
00769;20230913;1;panther;O
00770;20230913;1;paradiso;O
00771;20230913;1;parilla;O
00772;20230913;1;pasquali;O
00773;20230913;1;paus;O
00774;20230913;1;peak;O
00775;20230913;1;pedersen;O
00776;20230913;1;pegaso;O
00777;20230913;1;peka;O
00778;20230913;1;pellenz;O
00779;20230913;1;pemda;O
00780;20230913;1;peripoli;O
00781;20230913;1;perkins;O
00782;20230913;1;peter;O
00783;20230913;1;peugeot;O
00784;20230913;1;pgo;O
00785;20230913;1;pgs;O
00786;20230913;1;ph blech;O
00787;20230913;1;piacenza;O
00788;20230913;1;piaggio;O
00789;20230913;1;pilote;O
00790;20230913;1;pininfarina;O
00791;20230913;1;pioget;O
00792;20230913;1;piroux;O
00793;20230913;1;plutomarc;O
00794;20230913;1;plymouth;O
00795;20230913;1;poclain;O
00796;20230913;1;polaris;O
